against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120.0,Cocoon,55,1000000,0.7,50,Transelトランセル,Metapod,50.0,25,25,30,4,0,9.9,1,0
0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45.0,Butterfly,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50.0,90,80,70,4,3,32.0,1,0
0.5,1.0,1.0,1.0753968253968254,0.5,1.0662450066577895,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255.0,Hairy,30,1000000,0.3,40,Beedleビードル,Weedle,50.0,20,20,50,4,1,3.2,1,0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120.0,Cocoon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50.0,25,25,35,4,1,10.0,1,0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45.0,Poison Bee,40,1000000,1.0,65,Spearスピアー,Beedrill,50.0,15,80,145,4,1,29.5,1,0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255.0,Tiny Bird,40,1059860,0.3,40,Poppoポッポ,Pidgey,50.0,35,35,56,5,3,1.8,1,0
0.5,1.0,1.0,2.0,1.0513117283950617,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120.0,Bird,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50.0,50,50,71,5,3,30.0,1,0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45.0,Bird,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50.0,135,80,121,5,3,39.5,1,0
1.0,1.0568350668647846,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255.0,Mouse,35,1000000,1.163892445582586,30,Korattaコラッタ,Rattata,50.0,25,35,72,5,4,61.37810499359791,1,0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127.0,Mouse,70,1000000,1.163892445582586,75,Rattaラッタ,Raticate,50.0,40,80,77,5,4,61.37810499359791,1,0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.1957390146471372,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255.0,Tiny Bird,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50.0,31,31,70,5,3,2.0,1,0
0.9975795297372061,1.0568350668647846,1.0,2.0,1.0,1.0,1.1474700399467377,1.0,0.9820239680426098,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90.0,Beak,65,1000000,1.2,65,Onidrillオニドリル,Fearow,50.0,61,61,100,5,3,38.0,1,0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255.0,Snake,44,1000000,2.0,35,Arboアーボ,Ekans,50.0,40,54,55,6,0,6.9,1,0
0.5,1.0,1.0,1.0,1.0513117283950617,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90.0,Cobra,69,1000000,3.5,60,Arbokアーボック,Arbok,50.0,65,79,80,6,0,65.0,1,0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190.0,Mouse,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50.0,50,50,90,7,0,6.0,1,0
1.0,1.0,1.0,0.5,1.0,1.0,1.1474700399467377,1.1957390146471372,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75.0,Mouse,50,1000000,1.163892445582586,60,Raichuライチュウ,Raichu,50.0,95,85,110,7,5,61.37810499359791,1,0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255.0,Mouse,90,1000000,1.163892445582586,50,Sandサンド,Sandshrew,50.0,10,35,40,8,6,61.37810499359791,1,0
1.0,1.0,1.0,0.0,1.0513117283950617,1.0,1.0,1.1957390146471372,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90.0,Mouse,120,1000000,1.163892445582586,75,Sandpanサンドパン,Sandslash,50.0,25,65,65,8,6,61.37810499359791,1,0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235.0,Poison Pin,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidorano,0.0,40,40,41,6,0,7.0,1,0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120.0,Poison Pin,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0.0,55,55,56,6,0,20.0,1,0
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45.0,Drill,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0.0,75,85,76,6,7,60.0,1,0
0.5,1.0,0.9797101449275363,1.0,1.0513117283950617,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235.0,Poison Pin,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidorano,100.0,40,40,50,6,0,9.0,1,0
0.5,1.0568350668647846,1.0,1.0,1.0513117283950617,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120.0,Poison Pin,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,100.0,55,55,65,6,0,19.5,1,0
0.9975795297372061,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45.0,Drill,77,1059860,1.4,81,Nidokingニドキング,Nidoking,100.0,85,75,85,6,7,62.0,1,0
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150.0,Fairy,48,800000,0.6,70,Pippiピッピ,Clefairy,24.6,60,65,35,9,0,7.5,1,0
0.5,0.5,0.9797101449275363,1.0753968253968254,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25.0,Fairy,73,800000,1.3,95,Pixyピクシー,Clefable,24.6,95,90,60,9,0,40.0,1,0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190.0,Fox,40,1000000,1.163892445582586,38,Rokonロコン,Vulpix,24.6,50,65,65,2,6,61.37810499359791,1,0
0.5,1.0,1.0,1.0,0.5,1.0,1.1474700399467377,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75.0,Fox,75,1000000,1.163892445582586,73,Kyukonキュウコン,Ninetales,24.6,81,100,109,2,6,61.37810499359791,1,0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170.0,Balloon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,45,25,20,5,8,5.5,1,0
0.5,0.5,0.9797101449275363,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50.0,Balloon,45,800000,1.0,140,Pukurinプクリン,Wigglytuff,24.6,85,50,45,5,8,12.0,1,0
0.25,1.0,1.0,2.0,0.5,1.0662450066577895,1.0,1.1957390146471372,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255.0,Bat,35,1000000,0.8,40,Zubatズバット,Zubat,50.0,30,40,55,6,3,7.5,1,0
0.25,1.0,0.9797101449275363,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90.0,Bat,70,1000000,1.6,75,Golbatゴルバット,Golbat,50.0,65,75,90,6,3,55.0,1,0
1.0,1.0,1.0,0.5,1.0513117283950617,0.5,1.1474700399467377,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255.0,Weed,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50.0,75,65,30,1,1,5.4,1,0
1.0,1.0568350668647846,1.0,0.5,0.5,0.5,2.0,1.1957390146471372,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120.0,Weed,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50.0,85,75,40,1,1,8.6,1,0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45.0,Flower,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50.0,110,90,50,1,1,18.6,1,0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190.0,Mushroom,55,1000000,0.3,35,Parasパラス,Paras,50.0,45,55,25,4,9,5.4,1,0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75.0,Mushroom,80,1000000,1.0,60,Parasectパラセクト,Parasect,50.0,60,80,30,4,9,29.5,1,0
0.5,1.0568350668647846,0.9797101449275363,1.0753968253968254,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190.0,Insect,50,1000000,1.0,60,Kongpangコンパン,Venonat,50.0,40,55,45,4,1,30.0,1,0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75.0,Poison Moth,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50.0,90,75,90,4,1,12.5,1,0
1.0,1.0568350668647846,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255.0,Mole,30,1000000,1.163892445582586,10,Digdaディグダ,Diglett,50.0,35,45,90,8,7,61.37810499359791,1,0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50.0,Mole,60,1000000,1.163892445582586,35,Dugtrioダグトリオ,Dugtrio,50.0,50,70,110,8,7,61.37810499359791,1,0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255.0,Scratch Cat,35,1000000,1.163892445582586,40,Nyarthニャース,Meowth,50.0,50,40,90,5,4,61.37810499359791,1,0
1.0,1.0,1.0,1.0,1.0513117283950617,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90.0,Classy Cat,60,1000000,1.163892445582586,65,Persianペルシアン,Persian,50.0,75,65,115,5,4,61.37810499359791,1,0
1.0,1.0568350668647846,1.0,2.0,1.0,1.0,0.5,1.1957390146471372,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190.0,Duck,48,1000000,0.8,50,Koduckコダック,Psyduck,50.0,65,50,55,3,0,19.6,1,0
1.0,1.0,1.0,1.0753968253968254,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75.0,Duck,78,1000000,1.7,80,Golduckゴルダック,Golduck,50.0,95,80,85,3,0,76.6,1,0
0.5,0.5,1.0,1.0753968253968254,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190.0,Pig Monkey,35,1000000,0.5,40,Mankeyマンキー,Mankey,50.0,35,45,70,10,0,28.0,1,0
0.9975795297372061,1.0568350668647846,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75.0,Pig Monkey,60,1000000,1.0,65,Okorizaruオコリザル,Primeape,50.0,60,70,95,10,0,32.0,1,0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190.0,Puppy,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,70,50,60,2,0,19.0,1,0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75.0,Legendary,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,100,80,95,2,0,155.0,1,0
1.0,1.0,0.9797101449275363,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255.0,Tadpole,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50.0,40,40,90,3,0,12.4,1,0
1.0,1.0,1.0,2.0,1.0,1.0662450066577895,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120.0,Tadpole,65,1059860,1.0,65,Nyorozoニョロゾ,Poliwhirl,50.0,50,50,90,3,0,20.0,1,0
0.5,0.5,1.0,1.0753968253968254,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45.0,Tadpole,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50.0,70,90,70,3,10,54.0,1,0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200.0,Psi,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,105,55,90,11,0,19.5,1,0
2.0,2.0,1.0,1.0,1.0,0.5,1.1474700399467377,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100.0,Psi,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,120,70,105,11,0,56.5,1,0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50.0,Psi,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,175,105,150,11,0,48.0,1,0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180.0,Superpower,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,35,35,35,10,0,19.5,1,0
0.5,1.0568350668647846,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90.0,Superpower,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,50,60,45,10,0,70.5,1,0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45.0,Superpower,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,65,85,55,10,0,130.0,1,0
1.0,1.0,0.9797101449275363,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,255.0,Flower,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50.0,70,30,40,1,1,4.0,1,0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,1.1957390146471372,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,120.0,Flycatcher,50,1059860,1.0,65,Utsudonウツドン,Weepinbell,50.0,85,45,55,1,1,6.4,1,0
0.9975795297372061,1.0,0.9797101449275363,0.5,0.5,0.5,1.1474700399467377,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,45.0,Flycatcher,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50.0,100,70,70,1,1,15.5,1,0
0.5,1.0568350668647846,1.0,2.0,0.5,1.0662450066577895,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,190.0,Jellyfish,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50.0,50,100,70,3,1,45.5,1,0
0.5,1.0568350668647846,1.0,2.0,0.5,1.0662450066577895,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,60.0,Jellyfish,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50.0,80,120,100,3,1,55.0,1,0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,255.0,Rock,100,1059860,1.163892445582586,40,Isitsubuteイシツブテ,Geodude,50.0,30,30,20,12,7,61.37810499359791,1,0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,120.0,Rock,115,1059860,1.163892445582586,55,Goloneゴローン,Graveler,50.0,45,45,35,12,7,61.37810499359791,1,0
1.0,1.0,0.9797101449275363,0.0,1.0513117283950617,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,45.0,Megaton,130,1059860,1.163892445582586,80,Golonyaゴローニャ,Golem,50.0,55,65,45,12,7,61.37810499359791,1,0
0.5,1.0,0.9797101449275363,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,190.0,Fire Horse,55,1000000,1.0,50,Ponytaポニータ,Ponyta,50.0,65,65,90,2,0,30.0,1,0
0.5,1.0,0.9797101449275363,1.0,1.0513117283950617,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,60.0,Fire Horse,70,1000000,1.7,65,Gallopギャロップ,Rapidash,50.0,80,80,105,2,0,95.0,1,0
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,5120,70,315,190.0,Dopey,65,1000000,1.2,90,Yadonヤドン,Slowpoke,50.0,40,40,15,3,11,36.0,1,0
0.9975795297372061,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,590,75.0,Hermit Crab,180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50.0,130,80,30,3,11,78.5,1,0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,5120,70,325,190.0,Magnet,70,1000000,0.3,25,Coilコイル,Magnemite,55.155761024181935,95,55,45,7,12,6.0,1,0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,5120,70,465,60.0,Magnet,95,1000000,1.0,50,Rarecoilレアコイル,Magneton,55.155761024181935,120,70,70,7,12,60.0,1,0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,5120,70,377,45.0,Wild Duck,55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50.0,58,62,60,5,3,15.0,1,0
0.9975795297372061,1.0,1.0,1.0753968253968254,1.0,1.0662450066577895,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,5120,70,310,190.0,Twin Bird,45,1000000,1.4,35,Dodoドードー,Doduo,50.0,35,35,75,5,3,39.2,1,0
0.5,1.0,1.0,2.0,1.0,1.0662450066577895,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,5120,70,470,45.0,Triple Bird,70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50.0,60,60,110,5,3,85.2,1,0
1.0,1.0568350668647846,0.9797101449275363,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120,70,325,190.0,Sea Lion,55,1000000,1.1,65,Pawouパウワウ,Seel,50.0,45,70,45,3,0,90.0,1,0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,5120,70,475,75.0,Sea Lion,80,1000000,1.7,90,Jugonジュゴン,Dewgong,50.0,70,95,70,3,6,120.0,1,0
0.5,1.0568350668647846,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,5120,70,325,190.0,Sludge,50,1000000,1.163892445582586,80,Betbeterベトベター,Grimer,50.0,40,50,25,6,1,61.37810499359791,1,0
0.5,1.0,1.0,1.0753968253968254,1.0513117283950617,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,5120,70,500,75.0,Sludge,75,1000000,1.163892445582586,105,Betbetonベトベトン,Muk,50.0,65,100,50,6,1,61.37810499359791,1,0
1.0,1.0,1.0,2.0,1.0,1.0662450066577895,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,305,190.0,Bivalve,100,1250000,0.3,30,Shellderシェルダー,Shellder,50.0,45,25,40,3,0,4.0,1,0
1.0,1.0,0.9797101449275363,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,5120,70,525,60.0,Bivalve,180,1250000,1.5,50,Parshenパルシェン,Cloyster,50.0,85,45,70,3,6,132.5,1,0
0.25,2.0,1.0,1.0753968253968254,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,5120,70,310,190.0,Gas,30,1059860,1.3,30,Ghosゴース,Gastly,50.0,100,35,80,13,1,0.1,1,0
